source,source_type,target,target_type,weight
line,concept,line,concept,1
model,concept,model,concept,1
var,concept,var,concept,1
more,concept,more,concept,1
ews,concept,ews,concept,1
mw,concept,mw,concept,3
monday,concept,monday,concept,1
morning,concept,morning,concept,1
time,concept,gas,concept,2
email,concept,email,concept,2
want,concept,want,concept,56
click,concept,click,concept,6
energy,concept,power,concept,3
call,concept,call,concept,2
tomorrow,concept,morning,concept,3
short,concept,short,concept,1
day,concept,day,concept,2
markets,concept,markets,concept,2
market,concept,market,concept,3
enron,concept,enron,concept,2
let,concept,time,concept,1
day,concept,meeting,concept,1
meeting,concept,week,concept,4
load,concept,load,concept,2
california,location,week,concept,1
week,concept,enron,concept,1
call,concept,like,concept,1
need,concept,let,concept,4
correct,concept,sign,concept,1
year,concept,year,concept,1
need,concept,market,concept,2
error,concept,delete,concept,2
america,concept,texas,location,17
section,concept,past,concept,1
need,concept,help,concept,3
time,concept,call,concept,5
energy,concept,gas,concept,3
value,concept,money,concept,1
california,location,power,concept,2
day,concept,week,concept,3
under,concept,well,concept,2
send,concept,email,concept,2
tell,concept,senior,concept,2
filing,concept,filing,concept,1
energy,concept,price,concept,4
meeting,concept,going,concept,1
call,concept,think,concept,1
west,concept,desk,concept,2
work,concept,john,agent,1
power,concept,market,concept,3
back,concept,know,concept,1
make,concept,well,concept,1
jeff,agent,business,concept,1
information,concept,next,concept,1
pretty,concept,resources,concept,1
good,concept,help,concept,1
agreement,concept,services,concept,7
ken,agent,talking,concept,1
next,concept,next,concept,1
send,concept,let,concept,2
company,concept,enron,concept,1
given,concept,distribution,concept,1
ercot,concept,north,concept,1
some,concept,market,concept,2
price,concept,day,concept,3
time,concept,need,concept,1
let,concept,want,concept,2
customers,concept,customers,concept,1
still,concept,want,concept,1
regulatory,concept,specific,concept,1
meeting,concept,want,concept,1
know,concept,take,concept,1
did,concept,last,concept,1
received,concept,jeff,agent,1
market,concept,good,concept,1
provided,concept,planning,concept,1
north,concept,houston,location,19
california,location,corp,concept,1
houston,location,like,concept,2
energy,concept,ferc,concept,1
meeting,concept,john,agent,1
full,concept,mw,concept,1
some,concept,help,concept,2
future,concept,future,concept,1
provide,concept,list,concept,1
last,concept,year,concept,2
pm,concept,central,concept,2
change,concept,last,concept,1
look,concept,list,concept,1
last,concept,days,concept,1
agreement,concept,enron,concept,7
contract,concept,send,concept,1
need,concept,houston,location,1
know,concept,want,concept,4
issue,concept,commission,concept,1
more,concept,company,concept,1
discussed,concept,once,concept,1
terms,concept,upon,concept,1
received,concept,call,concept,1
order,concept,way,concept,2
call,concept,day,concept,1
review,concept,comments,concept,1
help,concept,need,concept,1
happy,concept,happy,concept,1
ercot,concept,look,concept,1
need,concept,file,concept,1
decision,concept,cell,concept,1
agreed,concept,gisb,concept,2
need,concept,price,concept,2
going,concept,change,concept,1
information,concept,know,concept,3
energy,concept,services,concept,3
want,concept,email,concept,1
then,concept,then,concept,1
going,concept,make,concept,1
performance,concept,performance,concept,2
copies,concept,copies,concept,1
contact,concept,discuss,concept,2
contract,concept,energy,concept,1
prices,concept,working,concept,2
smith,agent,texas,location,18
power,concept,power,concept,13
provide,concept,next,concept,1
market,concept,well,concept,1
information,concept,let,concept,3
think,concept,plan,concept,2
california,location,energy,concept,3
gas,concept,electric,concept,3
ercot,concept,prices,concept,3
event,concept,model,concept,1
look,concept,way,concept,3
application,concept,model,concept,1
following,concept,provide,concept,1
list,concept,list,concept,1
help,concept,services,concept,1
think,concept,well,concept,2
know,concept,next,concept,1
deal,concept,deal,concept,3
gas,concept,next,concept,1
need,concept,utility,concept,1
order,concept,make,concept,1
energy,concept,energy,concept,4
thank,concept,need,concept,1
course,concept,filing,concept,1
contract,concept,make,concept,2
paso,concept,paso,concept,1
list,concept,information,concept,1
rates,concept,account,concept,1
plan,concept,back,concept,2
appropriate,concept,taking,concept,1
need,concept,some,concept,5
year,concept,jones,agent,1
available,concept,capacity,concept,4
like,concept,back,concept,1
planning,concept,details,concept,2
call,concept,meeting,concept,4
call,concept,make,concept,1
under,concept,under,concept,1
next,concept,america,concept,1
use,concept,time,concept,1
call,concept,said,concept,1
enron,concept,business,concept,1
office,concept,under,concept,2
office,concept,wholesale,concept,1
need,concept,know,concept,7
information,concept,work,concept,1
said,concept,jones,agent,1
dow,concept,dow,concept,1
trader,concept,own,concept,3
look,concept,prices,concept,1
issue,concept,utilities,concept,1
questions,concept,help,concept,5
information,concept,contact,concept,3
operations,concept,energy,concept,2
past,concept,provide,concept,2
well,concept,like,concept,1
provide,concept,following,concept,3
think,concept,good,concept,4
working,concept,gas,concept,1
anyone,concept,let,concept,1
like,concept,information,concept,3
jones,agent,jones,agent,1
sure,concept,why,concept,1
still,concept,need,concept,1
state,concept,said,concept,5
sender,concept,reply,concept,2
make,concept,think,concept,1
federal,concept,federal,concept,1
questions,concept,give,concept,3
review,concept,use,concept,3
added,concept,var,concept,1
groups,concept,groups,concept,1
energy,concept,office,concept,1
transmission,concept,transmission,concept,1
way,concept,number,concept,1
