source,source_type,target,target_type,weight
gas,concept,gas,concept,8
transmission,concept,transmission,concept,5
trading,concept,trading,concept,1
power,concept,power,concept,5
pacific,concept,pacific,concept,4
dorland,concept,dorland,concept,3
call,concept,call,concept,3
hour,concept,hour,concept,2
mike,agent,mike,agent,3
last,concept,last,concept,2
report,concept,report,concept,1
utility,concept,utility,concept,1
edison,agent,edison,agent,1
well,concept,well,concept,6
generators,concept,generators,concept,4
week,concept,week,concept,1
power,concept,need,concept,4
never,concept,never,concept,2
business,concept,california,location,6
company,concept,company,concept,1
need,concept,know,concept,1
center,concept,visit,concept,1
password,concept,necessary,concept,1
day,concept,day,concept,1
week,concept,back,concept,1
transmission,concept,utility,concept,4
america,concept,smith,agent,11
let,concept,call,concept,1
company,concept,file,concept,2
enron,concept,enron,concept,2
enron,concept,energy,concept,2
click,concept,click,concept,7
electric,concept,customers,concept,2
off,concept,pipeline,concept,1
retail,concept,long-term,concept,2
said,concept,market,concept,5
information,concept,meeting,concept,1
against,concept,utility,concept,1
gas,concept,under,concept,8
california,location,commission,concept,5
company,concept,call,concept,2
trading,concept,need,concept,2
contract,concept,under,concept,2
management,concept,date,concept,1
meeting,concept,week,concept,5
call,concept,state,concept,2
approval,concept,requested,concept,1
meeting,concept,deal,concept,2
going,concept,back,concept,1
make,concept,some,concept,2
utility,concept,transmission,concept,2
plan,concept,company,concept,2
cash,concept,amount,concept,2
experience,concept,experience,concept,1
some,concept,time,concept,8
north,concept,america,concept,17
available,concept,capacity,concept,1
services,concept,work,concept,1
zufferli,concept,zufferli,concept,2
contracts,concept,gas,concept,1
more,concept,time,concept,3
think,concept,back,concept,2
pm,concept,pm,concept,5
time,concept,work,concept,3
then,concept,contract,concept,1
need,concept,energy,concept,2
take,concept,date,concept,2
let,concept,let,concept,2
energy,concept,meeting,concept,5
like,concept,some,concept,5
more,concept,information,concept,5
prices,concept,market,concept,5
center,concept,complete,concept,1
know,concept,know,concept,2
market,concept,good,concept,4
company,concept,california,location,3
work,concept,then,concept,1
power,concept,market,concept,15
more,concept,enron,concept,3
give,concept,call,concept,11
call,concept,questions,concept,6
said,concept,company,concept,1
state,concept,under,concept,6
fuel,concept,fuel,concept,2
power,concept,state,concept,13
week,concept,email,concept,1
need,concept,under,concept,4
company,concept,provide,concept,3
commission,concept,make,concept,1
manager,concept,manager,concept,1
back,concept,did,concept,1
email,concept,information,concept,1
following,concept,california,location,2
time,concept,date,concept,4
like,concept,call,concept,1
need,concept,list,concept,2
state,concept,power,concept,5
energy,concept,morning,concept,1
gas,concept,plan,concept,8
open,concept,public,concept,5
know,concept,call,concept,1
plant,concept,start,concept,1
monday,concept,morning,concept,1
steve,agent,know,concept,1
need,concept,power,concept,6
week,concept,work,concept,3
net,concept,short,concept,1
back,concept,electric,concept,2
committee,concept,plan,concept,4
mike,agent,know,concept,1
understand,concept,real,concept,1
public,concept,utilities,concept,5
decision,concept,july,concept,1
contact,concept,contact,concept,1
last,concept,week,concept,7
questions,concept,want,concept,2
pjm,concept,pjm,concept,1
run,concept,scheduled,concept,2
transmission,concept,operations,concept,6
make,concept,plan,concept,3
company,concept,some,concept,1
steve,agent,mike,agent,1
necessary,concept,corporate,concept,1
well,concept,market,concept,5
firm,concept,firm,concept,1
friday,concept,october,concept,4
report,concept,take,concept,1
required,concept,related,concept,1
under,concept,contracts,concept,10
hour,concept,went,concept,2
work,concept,meeting,concept,2
