source,source_type,target,target_type,weight
company,concept,company,concept,6
change,concept,change,concept,5
commission,concept,commission,concept,1
desk,concept,desk,concept,1
board,concept,board,concept,1
load,concept,load,concept,1
physical,concept,physical,concept,3
day,concept,day,concept,7
price,concept,price,concept,9
business,concept,business,concept,2
november,concept,november,concept,2
some,concept,some,concept,2
gas,concept,company,concept,9
sale,concept,sale,concept,1
status,concept,status,concept,1
report,concept,report,concept,2
need,concept,need,concept,3
market,concept,price,concept,2
monday,concept,morning,concept,2
going,concept,going,concept,5
last,concept,last,concept,2
let,concept,file,concept,1
start,concept,sell,concept,1
need,concept,information,concept,6
energy,concept,gas,concept,4
hey,concept,big,concept,2
information,concept,information,concept,2
access,concept,access,concept,2
power,concept,market,concept,3
week,concept,week,concept,2
know,concept,state,concept,1
let,concept,information,concept,3
america,concept,smith,agent,7
statement,concept,delivery,concept,1
price,concept,market,concept,1
business,concept,information,concept,1
california,location,energy,concept,2
report,concept,pipeline,concept,1
help,concept,services,concept,1
think,concept,good,concept,1
date,concept,date,concept,2
file,concept,last,concept,1
information,concept,business,concept,2
meeting,concept,contract,concept,1
thank,concept,kim,agent,1
monday,concept,october,concept,4
last,concept,order,concept,1
email,concept,bill,agent,2
october,concept,discuss,concept,2
system,concept,prices,concept,1
issues,concept,report,concept,2
back,concept,like,concept,2
some,concept,business,concept,1
bring,concept,fuel,concept,1
available,concept,tomorrow,concept,1
market,concept,like,concept,1
send,concept,bill,agent,1
going,concept,week,concept,1
file,concept,day,concept,1
mark,concept,like,concept,1
found,concept,water,concept,1
some,concept,contracts,concept,2
gas,concept,price,concept,8
order,concept,send,concept,1
problems,concept,problems,concept,1
call,concept,ferc,concept,1
order,concept,business,concept,1
senior,concept,volume,concept,1
email,concept,call,concept,1
going,concept,call,concept,2
currently,concept,desk,concept,1
gas,concept,issues,concept,2
like,concept,know,concept,2
game,concept,game,concept,2
know,concept,think,concept,7
last,concept,contract,concept,2
power,concept,energy,concept,2
power,concept,company,concept,3
happy,concept,specific,concept,1
give,concept,call,concept,5
joe,agent,joe,agent,2
gas,concept,california,location,4
mw,concept,net,concept,1
weeks,concept,weeks,concept,1
like,concept,company,concept,7
like,concept,right,concept,1
power,concept,power,concept,3
know,concept,more,concept,2
back,concept,order,concept,1
dorland,concept,dorland,concept,2
take,concept,through,concept,1
agreement,concept,agreement,concept,1
trading,concept,contract,concept,2
date,concept,following,concept,1
monday,concept,discuss,concept,1
capacity,concept,contract,concept,1
release,concept,january,concept,1
power,concept,available,concept,1
make,concept,some,concept,1
state,concept,next,concept,1
call,concept,know,concept,2
let,concept,let,concept,1
like,concept,make,concept,2
customers,concept,business,concept,1
need,concept,questions,concept,1
