source,source_type,target,target_type,weight
gas,concept,gas,concept,3
via,concept,via,concept,1
supply,concept,supply,concept,1
use,concept,use,concept,2
company,concept,company,concept,3
day,concept,day,concept,3
special,concept,special,concept,1
committee,concept,committee,concept,1
var,concept,var,concept,3
zufferli,concept,zufferli,concept,3
some,concept,some,concept,1
time,concept,time,concept,3
epmi,concept,epmi,concept,1
report,concept,report,concept,1
plant,concept,plant,concept,1
gas,concept,company,concept,5
enron,concept,enron,concept,2
direct,concept,direct,concept,1
did,concept,send,concept,2
dorland,concept,dorland,concept,2
ferc,concept,ferc,concept,1
good,concept,think,concept,2
market,concept,market,concept,2
message,concept,message,concept,2
know,concept,enron,concept,4
contracts,concept,contracts,concept,3
friday,concept,friday,concept,1
message,concept,last,concept,2
party,concept,party,concept,16
lot,concept,lot,concept,1
gas,concept,enron,concept,6
book,concept,book,concept,3
enron,concept,power,concept,1
some,concept,like,concept,2
going,concept,then,concept,2
need,concept,enron,concept,1
energy,concept,market,concept,3
office,concept,more,concept,1
opportunity,concept,experience,concept,1
well,concept,gas,concept,1
company,concept,energy,concept,1
ready,concept,ready,concept,1
want,concept,some,concept,2
contracts,concept,more,concept,1
enron,concept,houston,location,12
enron,concept,energy,concept,3
november,concept,november,concept,1
enron,concept,trading,concept,3
some,concept,time,concept,1
staff,concept,traders,concept,1
send,concept,know,concept,1
information,concept,enron,concept,1
use,concept,help,concept,2
information,concept,next,concept,1
want,concept,time,concept,1
market,concept,like,concept,1
message,concept,well,concept,1
payment,concept,payment,concept,2
call,concept,information,concept,1
meeting,concept,committee,concept,1
provide,concept,list,concept,1
effective,concept,effective,concept,1
let,concept,information,concept,2
energy,concept,business,concept,1
send,concept,company,concept,1
look,concept,like,concept,2
password,concept,cara,agent,1
intended,concept,under,concept,1
call,concept,email,concept,3
want,concept,like,concept,1
some,concept,need,concept,2
monday,concept,monday,concept,1
market,concept,business,concept,2
application,concept,application,concept,1
send,concept,information,concept,3
charge,concept,site,concept,1
