source,source_type,target,target_type,weight
volume,concept,volume,concept,3
time,concept,time,concept,1
going,concept,going,concept,1
comments,concept,comments,concept,1
way,concept,way,concept,1
weather,concept,weather,concept,2
energy,concept,energy,concept,6
report,concept,report,concept,5
some,concept,some,concept,3
want,concept,want,concept,3
day,concept,day,concept,2
east,concept,east,concept,3
issue,concept,issue,concept,1
trading,concept,trading,concept,5
email,concept,email,concept,1
sold,concept,coming,concept,2
did,concept,did,concept,1
price,concept,price,concept,2
like,concept,know,concept,2
gas,concept,gas,concept,5
back,concept,day,concept,1
marketing,concept,guy,concept,1
employee,concept,employee,concept,1
more,concept,some,concept,2
company,concept,call,concept,2
know,concept,know,concept,3
process,concept,process,concept,1
gas,concept,power,concept,2
going,concept,price,concept,1
going,concept,need,concept,3
some,concept,need,concept,4
work,concept,enron,concept,3
need,concept,know,concept,3
going,concept,information,concept,1
still,concept,want,concept,1
ferc,concept,intended,concept,1
know,concept,like,concept,10
enron,concept,enron,concept,4
market,concept,john,agent,1
list,concept,people,concept,3
high,concept,pipeline,concept,1
firm,concept,currently,concept,1
gas,concept,company,concept,3
business,concept,business,concept,1
meeting,concept,week,concept,2
take,concept,look,concept,2
need,concept,information,concept,4
received,concept,take,concept,1
debt,concept,january,concept,2
line,concept,line,concept,1
need,concept,some,concept,5
mike,agent,off,concept,1
jeff,agent,today,concept,1
account,concept,physical,concept,1
contact,concept,look,concept,2
love,concept,phillip,agent,1
energy,concept,power,concept,1
sorry,concept,open,concept,1
did,concept,file,concept,2
least,concept,different,concept,1
coming,concept,portland,concept,2
year,concept,call,concept,2
back,concept,said,concept,2
gas,concept,back,concept,2
power,concept,energy,concept,1
message,concept,message,concept,2
bill,agent,mark,concept,1
electric,concept,electric,concept,1
last,concept,year,concept,6
ercot,concept,issue,concept,2
know,concept,help,concept,3
problem,concept,eol,concept,1
weather,concept,website,concept,1
pm,concept,pm,concept,5
message,concept,need,concept,1
off,concept,investments,concept,2
market,concept,message,concept,1
well,concept,today,concept,1
questions,concept,need,concept,1
look,concept,said,concept,2
more,concept,time,concept,1
questions,concept,know,concept,4
products,concept,trade,concept,1
access,concept,access,concept,1
let,concept,help,concept,1
back,concept,like,concept,1
pm,concept,central,concept,1
once,concept,load,concept,1
houston,location,enron,concept,2
game,concept,game,concept,1
energy,concept,trading,concept,14
received,concept,received,concept,1
message,concept,send,concept,1
let,concept,information,concept,2
energy,concept,corp,concept,1
office,concept,well,concept,1
past,concept,discussed,concept,1
texas,location,know,concept,1
houston,location,services,concept,1
jeff,agent,well,concept,1
via,concept,website,concept,1
price,concept,pipeline,concept,1
know,concept,next,concept,1
zufferli,concept,zufferli,concept,1
capacity,concept,available,concept,1
going,concept,contract,concept,1
mark,concept,said,concept,1
access,concept,need,concept,4
enron,concept,company,concept,4
model,concept,statement,concept,1
law,concept,firm,concept,4
short,concept,term,concept,4
show,concept,proposed,concept,1
file,concept,days,concept,1
last,concept,week,concept,4
going,concept,work,concept,3
back,concept,next,concept,2
pipeline,concept,market,concept,1
bill,agent,file,concept,1
