source,source_type,target,target_type,weight
dorland,concept,dorland,concept,2
power,concept,power,concept,14
city,concept,city,concept,2
enron,concept,enron,concept,52
steve,agent,steve,agent,7
id,concept,id,concept,1
email,concept,back,concept,1
password,concept,password,concept,1
gas,concept,time,concept,1
think,concept,good,concept,2
still,concept,then,concept,2
time,concept,time,concept,1
look,concept,comments,concept,6
sunday,concept,sunday,concept,3
email,concept,email,concept,3
customer,concept,customer,concept,1
show,concept,proposed,concept,1
pge,concept,pge,concept,1
down,concept,customers,concept,1
prices,concept,prices,concept,4
enron,concept,power,concept,3
think,concept,help,concept,1
want,concept,agreement,concept,2
application,concept,application,concept,3
need,concept,like,concept,2
order,concept,order,concept,2
price,concept,price,concept,2
epmi,concept,epmi,concept,1
know,concept,need,concept,11
settlement,concept,settlement,concept,1
kim,agent,issues,concept,1
proposal,concept,proposal,concept,2
business,concept,business,concept,1
today,concept,good,concept,1
intended,concept,intended,concept,3
tomorrow,concept,morning,concept,3
email,concept,questions,concept,3
report,concept,report,concept,1
use,concept,make,concept,1
information,concept,email,concept,3
settlement,concept,procedures,concept,2
product,concept,product,concept,2
week,concept,work,concept,2
did,concept,want,concept,3
need,concept,call,concept,2
let,concept,need,concept,7
several,concept,hours,concept,1
agency,concept,paso,concept,1
monday,concept,morning,concept,1
power,concept,market,concept,7
short,concept,short,concept,5
last,concept,year,concept,6
email,concept,information,concept,2
without,concept,proposal,concept,1
know,concept,questions,concept,15
afternoon,concept,sunday,concept,1
state,concept,gas,concept,1
know,concept,price,concept,1
use,concept,message,concept,2
term,concept,term,concept,5
some,concept,meeting,concept,1
west,concept,west,concept,1
review,concept,send,concept,2
gas,concept,power,concept,4
market,concept,state,concept,1
edison,agent,public,concept,1
meeting,concept,week,concept,2
last,concept,morning,concept,2
work,concept,let,concept,1
according,concept,pge,concept,1
time,concept,committee,concept,3
market,concept,prices,concept,4
let,concept,know,concept,101
deal,concept,deal,concept,1
take,concept,time,concept,2
edison,agent,sell,concept,1
through,concept,friday,concept,1
commission,concept,make,concept,1
time,concept,some,concept,1
houston,location,texas,location,20
did,concept,message,concept,1
trading,concept,services,concept,1
information,concept,prices,concept,1
coming,concept,coming,concept,1
like,concept,need,concept,1
right,concept,like,concept,1
more,concept,ferc,concept,4
provide,concept,prices,concept,1
intended,concept,contact,concept,1
central,concept,central,concept,2
week,concept,know,concept,3
need,concept,enron,concept,1
via,concept,turn,concept,1
think,concept,make,concept,3
comments,concept,issues,concept,2
way,concept,time,concept,2
contact,concept,people,concept,1
state,concept,state,concept,7
john,agent,jeff,agent,1
call,concept,need,concept,1
report,concept,send,concept,1
morning,concept,need,concept,2
market,concept,price,concept,5
real,concept,traders,concept,1
list,concept,make,concept,1
prices,concept,system,concept,1
last,concept,day,concept,3
ferc,concept,services,concept,1
commission,concept,use,concept,1
application,concept,pge,concept,3
tell,concept,correct,concept,3
still,concept,work,concept,1
enron,concept,some,concept,1
need,concept,change,concept,1
enron,concept,down,concept,1
email,concept,intended,concept,3
going,concept,need,concept,1
houston,location,like,concept,1
give,concept,days,concept,1
price,concept,market,concept,3
going,concept,like,concept,2
pipeline,concept,company,concept,2
think,concept,back,concept,1
trade,concept,products,concept,1
let,concept,information,concept,1
traders,concept,traders,concept,2
make,concept,houston,location,1
energy,concept,energy,concept,4
work,concept,power,concept,1
good,concept,gas,concept,2
know,concept,contact,concept,1
commission,concept,commission,concept,2
available,concept,kim,agent,4
california,location,power,concept,2
know,concept,system,concept,1
down,concept,off,concept,2
going,concept,right,concept,1
call,concept,call,concept,1
still,concept,under,concept,1
dow,concept,dow,concept,2
call,concept,discuss,concept,3
meeting,concept,information,concept,1
prices,concept,times,concept,1
issues,concept,contact,concept,2
make,concept,trading,concept,1
jones,agent,jones,agent,2
marketing,concept,contract,concept,2
need,concept,order,concept,6
contact,concept,call,concept,1
monday,concept,afternoon,concept,2
gas,concept,day,concept,3
plants,concept,plants,concept,1
report,concept,date,concept,1
business,concept,need,concept,1
following,concept,provide,concept,1
some,concept,index,concept,1
day,concept,like,concept,1
know,concept,know,concept,1
ferc,concept,energy,concept,2
like,concept,some,concept,2
reply,concept,original,concept,1
trade,concept,july,concept,1
time,concept,people,concept,2
think,concept,sure,concept,1
send,concept,email,concept,6
right,concept,off,concept,2
load,concept,system,concept,1
subject,concept,use,concept,2
public,concept,sell,concept,2
contract,concept,send,concept,1
let,concept,well,concept,1
going,concept,going,concept,1
following,concept,back,concept,3
start,concept,back,concept,1
senior,concept,socal,concept,3
order,concept,day,concept,1
make,concept,day,concept,1
available,concept,love,concept,1
joe,agent,joe,agent,1
houston,location,houston,location,1
contact,concept,email,concept,2
short,concept,help,concept,1
actually,concept,pretty,concept,1
order,concept,july,concept,1
law,concept,houston,location,1
energy,concept,services,concept,1
like,concept,working,concept,1
need,concept,business,concept,3
need,concept,know,concept,7
pge,concept,terms,concept,1
time,concept,way,concept,1
director,concept,planning,concept,1
questions,concept,enron,concept,1
currently,concept,available,concept,2
