let,know,165.261008098
enron,corp,108.550792268
mail,mail,104.834549745
enron,enron,103.116637144
north,america,97.7834356693
enron,america,97.0712706231
enron,north,96.0050982453
america,corp,87.2557762641
north,corp,87.0250389318
enron,houston,74.19966208
smith,houston,70.2073777932
enron,smith,70.1967299249
next,week,69.2918251425
houston,texas,68.7715314125
file,file,66.4286326643
exmerge,items,66.3470765083
north,houston,63.7559325059
america,houston,63.6165892954
enron,texas,63.4725288565
smith,texas,62.8740988289
north,smith,62.5432399256
america,smith,62.5120649158
gas,gas,62.1613509851
north,texas,61.6922231279
corp,houston,61.4390824218
america,texas,61.3927707447
corp,smith,60.9032962743
make,sure,59.103166974
deal,deal,58.4255742498
corp,texas,58.3910285486
energy,energy,57.5252218329
give,call,56.2235288013
enron,services,55.3354651362
agreement,agreement,55.2990969649
last,week,53.7340136959
power,power,52.9891516713
call,questions,52.5989170471
know,need,52.1627851758
know,questions,51.6507667385
let,questions,50.7644622899
message,message,47.4265956769
let,need,46.9914248079
day,day,46.8120340785
mail,message,46.711312018
need,know,45.6140538792
company,company,45.2651446638
sara,enron,45.1876353387
looks,like,45.091856533
questions,call,44.6622760934
received,error,44.4377919345
email,email,44.0522592029
corp,enron,43.7984275645
gas,company,43.7366235614
message,intended,43.5278385636
sara,houston,43.5076727954
sara,smith,43.4065616844
energy,services,43.3694667539
price,price,43.0735016067
gas,power,42.102198447
some,time,41.9451317104
know,enron,41.8437694042
message,error,41.7385899924
time,time,41.2031904435
download,msn,41.0070982739
energy,trading,40.9883935521
error,immediately,40.9455980841
last,year,40.3796792001
enron,energy,40.2046357997
notify,sender,40.1756111614
agreement,enron,39.952266243
error,delete,39.8354764608
error,notify,39.6602514463
john,john,39.5193462776
immediately,delete,39.4279723224
enron,markets,39.3651599252
know,think,39.216072542
received,immediately,39.0749267027
received,notify,38.9996114014
meeting,meeting,38.9040162818
sara,corp,38.8557694407
like,know,38.5777457997
sara,america,38.5484058325
sara,north,38.5342921629
information,confidential,38.5089754831
information,intended,38.49158687
error,sender,38.2753603503
energy,company,38.2712386996
call,discuss,38.2583022379
gas,daily,38.2445120856
market,market,38.1388347379
