source,source_type,target,target_type,weight
socal,concept,socal,concept,1
some,concept,some,concept,5
load,concept,load,concept,2
power,concept,power,concept,3
sale,concept,sale,concept,3
utility,concept,utility,concept,1
dorland,concept,dorland,concept,3
problems,concept,problems,concept,1
net,concept,short,concept,3
use,concept,use,concept,1
friend,concept,friend,concept,2
meeting,concept,meeting,concept,4
said,concept,power,concept,1
firm,concept,firm,concept,1
california,location,john,agent,1
today,concept,houston,location,1
california,location,meeting,concept,1
customers,concept,customers,concept,1
power,concept,state,concept,1
deal,concept,deal,concept,3
send,concept,mark,concept,1
think,concept,good,concept,2
contact,concept,contact,concept,1
michelle,agent,michelle,agent,1
like,concept,some,concept,2
want,concept,said,concept,1
make,concept,use,concept,1
information,concept,meeting,concept,1
state,concept,energy,concept,3
year,concept,year,concept,2
going,concept,work,concept,1
demand,concept,demand,concept,1
program,concept,update,concept,1
mike,agent,smith,agent,1
let,concept,some,concept,1
call,concept,time,concept,1
account,concept,sara,agent,1
firm,concept,customer,concept,1
houston,location,review,concept,1
system,concept,october,concept,2
process,concept,change,concept,2
enron,concept,enron,concept,2
time,concept,call,concept,1
good,concept,gas,concept,1
want,concept,let,concept,3
friend,concept,given,concept,2
like,concept,call,concept,1
capacity,concept,following,concept,1
need,concept,know,concept,3
tomorrow,concept,morning,concept,4
enron,concept,gas,concept,1
information,concept,enron,concept,1
let,concept,like,concept,5
day,concept,last,concept,2
questions,concept,know,concept,3
know,concept,some,concept,2
deal,concept,still,concept,1
water,concept,agency,concept,1
market,concept,need,concept,1
issue,concept,issue,concept,1
need,concept,some,concept,1
did,concept,like,concept,1
enron,concept,power,concept,1
market,concept,power,concept,3
need,concept,power,concept,1
information,concept,email,concept,1
week,concept,back,concept,1
information,concept,through,concept,1
following,concept,october,concept,1
sure,concept,index,concept,1
contract,concept,use,concept,1
susan,agent,susan,agent,1
back,concept,week,concept,2
bad,concept,unit,concept,1
ferc,concept,issue,concept,1
call,concept,day,concept,3
email,concept,back,concept,2
going,concept,email,concept,1
january,concept,buying,concept,1
