october,december,15.8164337109
download,msn,14.2314712102
msn,asp,13.2314712102
download,asp,13.2314712102
markets,net,12.531031492
december,pipeline,12.494505616
ceo,pipeline,12.494505616
notify,sender,12.2314712102
sender,immediately,12.2314712102
msn,msn,12.2314712102
error,sender,12.0615462087
error,immediately,12.0615462087
basis,early,12.0090787888
total,payment,11.8164337109
appropriate,appropriate,11.8164337109
ken,ken,11.8164337109
notify,immediately,11.8164337109
payment,payment,11.8164337109
value,understand,11.8164337109
tell,correct,11.7009564935
error,notify,11.6465087095
immediately,delete,11.6465087095
weeks,trades,11.6465087095
prohibited,sender,11.6465087095
error,delete,11.6465087095
agreed,says,11.6465087095
sender,delete,11.6465087095
prohibited,error,11.476583708
james,karen,11.4241162881
karen,importance,11.4241162881
old,love,11.4241162881
agreed,currently,11.3570020923
filing,individual,11.2314712102
appreciate,original,11.2314712102
notify,delete,11.2314712102
individual,account,11.2314712102
changed,tom,11.2314712102
tom,weeks,11.2314712102
sender,original,11.2314712102
richard,james,11.2017238668
game,game,11.1725775211
confidential,individual,11.1159939928
net,america,11.1021881932
prohibited,immediately,11.0615462087
blackberry,way,11.0615462087
wholesale,november,11.0350739974
louise,richard,11.0090787888
importance,high,11.0090787888
dan,richard,11.0090787888
contact,sara,11.0090787888
taking,account,11.0090787888
eol,specific,11.0090787888
received,error,11.0026525197
ceo,texas,10.9095431153
report,positions,10.9095431153
individual,copies,10.9095431153
hey,load,10.9095431153
louise,dan,10.8164337109
index,html,10.8164337109
account,value,10.8164337109
response,requested,10.8164337109
understand,why,10.8164337109
understand,understand,10.8164337109
original,notify,10.8164337109
value,value,10.8164337109
east,coming,10.7720395915
old,mary,10.7720395915
exmerge,items,10.687150694
america,ceo,10.687150694
went,went,10.6465087095
correct,down,10.6465087095
making,trades,10.6465087095
nov,order,10.6465087095
dan,says,10.6465087095
agreed,prior,10.6465087095
basis,options,10.6465087095
immediately,sender,10.6465087095
trades,york,10.6465087095
hey,world,10.6465087095
prohibited,notify,10.6465087095
north,america,10.6398449792
problems,game,10.5876150204
greg,mary,10.5496471702
importance,proposal,10.5496471702
old,own,10.531031492
joe,joe,10.5236519617
jim,joe,10.5236519617
mark,wholesale,10.5205008245
filing,copies,10.494505616
daily,basis,10.494505616
account,lunch,10.494505616
original,trade,10.494505616
share,why,10.494505616
desk,account,10.494505616
dan,dave,10.494505616
copies,original,10.494505616
pipeline,level,10.494505616
least,bit,10.494505616
addition,level,10.494505616
went,taking,10.4241162881
karen,susan,10.4241162881
lisa,richard,10.4241162881
nov,necessary,10.4241162881
required,disclosure,10.4241162881
via,greg,10.4241162881
confidential,intended,10.4155542746
having,game,10.4070427748
proposal,appropriate,10.3570020923
currently,appropriate,10.3570020923
currently,html,10.3570020923
old,called,10.3245806146
notice,filing,10.3139333704
markets,specific,10.3086390707
intended,responsible,10.3086390707
net,north,10.2772748998
purchase,specific,10.2541912867
needed,tell,10.2415248748
total,total,10.2314712102
delete,notify,10.2314712102
louise,lisa,10.2314712102
eol,info,10.2314712102
understand,east,10.2314712102
approval,future,10.2314712102
immediately,notify,10.2314712102
edison,louise,10.2314712102
individual,value,10.2314712102
delivery,necessary,10.2017238668
james,greg,10.2017238668
richard,greg,10.2017238668
management,taking,10.2017238668
richard,richard,10.2017238668
says,executed,10.1870770908
wholesale,cash,10.1870770908
currently,says,10.1870770908
received,sender,10.1725775211
received,immediately,10.1725775211
document,document,10.1725775211
daily,share,10.1725775211
sara,comments,10.1725775211
thing,load,10.1725775211
party,house,10.1725775211
michelle,stacey,10.1725775211
game,well,10.1725775211
document,program,10.1725775211
basis,want,10.1534686982
approval,past,10.1440083689
intended,individual,10.1159939928
markets,eol,10.1159939928
