source,source_type,target,target_type,weight
plants,concept,plants,concept,1
know,concept,know,concept,2
more,concept,more,concept,3
week,concept,week,concept,1
staff,concept,staff,concept,1
intended,concept,intended,concept,1
october,concept,october,concept,6
dorland,concept,dorland,concept,7
every,concept,every,concept,1
some,concept,some,concept,2
job,concept,job,concept,2
then,concept,then,concept,1
like,concept,like,concept,4
department,concept,department,concept,1
number,concept,number,concept,1
update,concept,status,concept,1
following,concept,october,concept,2
reply,concept,reply,concept,1
discuss,concept,october,concept,1
called,concept,called,concept,1
session,concept,session,concept,8
bill,agent,bill,agent,2
special,concept,special,concept,2
pm,concept,pm,concept,4
back,concept,questions,concept,1
houston,location,houston,location,1
sales,concept,value,concept,1
enron,concept,energy,concept,3
power,concept,enron,concept,2
payment,concept,prior,concept,2
take,concept,look,concept,6
know,concept,want,concept,2
know,concept,need,concept,7
north,concept,america,concept,8
call,concept,like,concept,1
tomorrow,concept,morning,concept,2
like,concept,email,concept,1
back,concept,plan,concept,1
houston,location,plan,concept,2
steve,agent,steve,agent,2
week,concept,more,concept,1
number,concept,generators,concept,1
well,concept,then,concept,1
week,concept,bill,agent,1
provide,concept,report,concept,1
smith,agent,texas,location,3
back,concept,company,concept,1
energy,concept,under,concept,1
houston,location,next,concept,2
agreements,concept,agreements,concept,1
trade,concept,book,concept,1
public,concept,public,concept,1
like,concept,use,concept,1
last,concept,day,concept,1
let,concept,questions,concept,16
then,concept,did,concept,1
special,concept,session,concept,36
curve,concept,basis,concept,1
know,concept,more,concept,5
customers,concept,customers,concept,1
mark,concept,plan,concept,1
think,concept,back,concept,1
book,concept,trade,concept,1
next,concept,year,concept,6
look,concept,comments,concept,4
special,concept,governor,concept,2
like,concept,call,concept,2
america,concept,america,concept,2
need,concept,contact,concept,1
want,concept,like,concept,1
agreed,concept,terms,concept,1
prices,concept,prices,concept,2
like,concept,let,concept,3
calpine,concept,calpine,concept,1
provide,concept,off,concept,1
know,concept,back,concept,2
suite,concept,ca,concept,2
then,concept,office,concept,1
session,concept,law,concept,4
houston,location,texas,location,7
let,concept,power,concept,1
need,concept,date,concept,2
use,concept,business,concept,1
notify,concept,via,concept,1
dave,agent,signed,concept,2
then,concept,houston,location,2
provide,concept,electric,concept,1
curve,concept,looks,concept,1
let,concept,want,concept,2
discuss,concept,agreement,concept,1
gas,concept,market,concept,2
more,concept,questions,concept,1
houston,location,office,concept,1
ercot,concept,north,concept,1
daily,concept,physical,concept,1
state,concept,state,concept,1
edison,agent,utility,concept,4
status,concept,status,concept,1
through,concept,friday,concept,3
following,concept,thank,concept,1
back,concept,know,concept,1
report,concept,report,concept,1
energy,concept,market,concept,2
message,concept,message,concept,2
notice,concept,taking,concept,1
way,concept,thank,concept,1
against,concept,marketing,concept,1
energy,concept,issue,concept,1
date,concept,provide,concept,1
points,concept,points,concept,1
like,concept,then,concept,1
energy,concept,services,concept,3
provide,concept,through,concept,1
gas,concept,off,concept,1
agreement,concept,today,concept,3
business,concept,enron,concept,2
mark,concept,houston,location,1
like,concept,know,concept,1
down,concept,october,concept,4
some,concept,questions,concept,2
houston,location,under,concept,1
call,concept,need,concept,1
next,concept,week,concept,24
people,concept,made,concept,1
response,concept,msn,concept,1
let,concept,time,concept,3
like,concept,more,concept,3
information,concept,intended,concept,3
discussed,concept,section,concept,2
talking,concept,counsel,concept,1
working,concept,agreement,concept,1
day,concept,trade,concept,1
houston,location,use,concept,1
plan,concept,houston,location,1
business,concept,way,concept,1
questions,concept,agreement,concept,2
special,concept,members,concept,2
immediately,concept,notify,concept,1
some,concept,more,concept,1
picture,concept,picture,concept,1
issues,concept,time,concept,1
west,concept,desk,concept,3
down,concept,customers,concept,1
give,concept,comments,concept,1
problem,concept,edison,agent,1
more,concept,know,concept,2
pretty,concept,looks,concept,1
know,concept,agreement,concept,1
operations,concept,november,concept,1
independent,concept,independent,concept,1
report,concept,back,concept,1
san,concept,off,concept,1
send,concept,agreement,concept,1
gas,concept,power,concept,1
information,concept,know,concept,2
back,concept,more,concept,1
enron,concept,look,concept,1
services,concept,services,concept,1
event,concept,suite,concept,4
review,concept,work,concept,1
special,concept,subject,concept,2
power,concept,market,concept,3
issues,concept,questions,concept,1
ole,concept,independent,concept,5
call,concept,next,concept,2
gas,concept,make,concept,1
zufferli,concept,zufferli,concept,1
events,concept,area,concept,2
session,concept,special,concept,9
marketing,concept,power,concept,1
email,concept,confidential,concept,2
week,concept,information,concept,1
message,concept,think,concept,1
california,location,california,location,1
power,concept,said,concept,3
energy,concept,energy,concept,1
energy,concept,power,concept,5
mark,concept,like,concept,1
sales,concept,november,concept,1
trader,concept,trades,concept,1
electric,concept,off,concept,1
enron,concept,markets,concept,3
let,concept,sell,concept,1
sheet,concept,sheet,concept,6
prices,concept,going,concept,1
last,concept,state,concept,1
special,concept,bill,agent,6
trade,concept,under,concept,1
days,concept,date,concept,2
session,concept,november,concept,2
more,concept,information,concept,1
gas,concept,gas,concept,3
like,concept,going,concept,2
look,concept,decision,concept,1
enron,concept,north,concept,10
smith,agent,houston,location,14
list,concept,take,concept,1
time,concept,time,concept,3
heard,concept,yet,concept,1
business,concept,business,concept,2
capacity,concept,report,concept,2
day,concept,date,concept,1
mark,concept,mark,concept,1
state,concept,week,concept,3
general,concept,ews,concept,2
big,concept,big,concept,1
issues,concept,west,concept,1
power,concept,price,concept,2
session,concept,edison,agent,1
immediately,concept,agreed,concept,1
call,concept,discuss,concept,4
sure,concept,working,concept,1
down,concept,week,concept,6
decision,concept,right,concept,2
notify,concept,delete,concept,2
changes,concept,document,concept,1
energy,concept,gas,concept,2
some,concept,agreement,concept,3
issue,concept,state,concept,1
houston,location,info,concept,1
send,concept,energy,concept,1
day,concept,week,concept,1
edison,agent,world,concept,1
contract,concept,signed,concept,1
work,concept,today,concept,1
days,concept,bill,agent,1
file,concept,days,concept,2
immediately,concept,delete,concept,3
help,concept,access,concept,1
right,concept,guy,concept,1
said,concept,time,concept,1
texas,location,down,concept,3
know,concept,change,concept,1
customer,concept,contact,concept,1
know,concept,good,concept,1
know,concept,houston,location,1
market,concept,state,concept,3
need,concept,following,concept,4
customers,concept,need,concept,1
made,concept,law,concept,1
want,concept,deal,concept,1
prices,concept,start,concept,1
federal,concept,against,concept,1
week,concept,following,concept,1
know,concept,revised,concept,1
contracts,concept,commission,concept,1
working,concept,enron,concept,3
capacity,concept,america,concept,2
discussion,concept,earlier,concept,1
give,concept,information,concept,2
last,concept,today,concept,1
info,concept,company,concept,1
mark,concept,kim,agent,1
trade,concept,america,concept,1
never,concept,friend,concept,2
provide,concept,gas,concept,1
let,concept,agreement,concept,1
never,concept,never,concept,1
through,concept,sales,concept,1
think,concept,know,concept,1
corporate,concept,supply,concept,1
let,concept,need,concept,6
tell,concept,officials,concept,1
issues,concept,correct,concept,1
session,concept,governor,concept,3
time,concept,let,concept,1
some,concept,special,concept,2
sure,concept,appropriate,concept,2
filing,concept,included,concept,2
like,concept,ask,concept,1
want,concept,need,concept,1
review,concept,application,concept,3
know,concept,time,concept,4
notify,concept,original,concept,1
went,concept,last,concept,2
meeting,concept,next,concept,3
number,concept,let,concept,1
called,concept,day,concept,1
course,concept,houston,location,2
state,concept,going,concept,1
error,concept,sender,concept,3
notice,concept,energy,concept,1
texas,location,october,concept,2
without,concept,longer,concept,1
corporate,concept,sign,concept,1
use,concept,need,concept,1
back,concept,called,concept,1
commission,concept,contracts,concept,2
governor,concept,session,concept,3
questions,concept,paso,concept,1
office,concept,plan,concept,1
department,concept,own,concept,1
available,concept,happy,concept,1
debra,agent,america,concept,2
approval,concept,sign,concept,1
contract,concept,energy,concept,2
houston,location,some,concept,2
want,concept,more,concept,2
bill,agent,contracts,concept,1
week,concept,let,concept,1
know,concept,issues,concept,1
upon,concept,information,concept,1
payment,concept,following,concept,1
information,concept,course,concept,2
plan,concept,contract,concept,1
some,concept,contracts,concept,3
email,concept,call,concept,1
susan,agent,know,concept,1
mary,agent,filing,concept,1
look,concept,sheet,concept,1
then,concept,need,concept,1
let,concept,hear,concept,1
special,concept,law,concept,2
market,concept,paso,concept,1
back,concept,changes,concept,1
still,concept,state,concept,2
provide,concept,california,location,1
pm,concept,time,concept,2
working,concept,texas,location,1
requested,concept,following,concept,1
signed,concept,off,concept,1
access,concept,need,concept,3
state,concept,energy,concept,1
session,concept,floor,concept,2
appropriate,concept,physical,concept,1
friday,concept,october,concept,5
approval,concept,work,concept,1
talking,concept,points,concept,4
events,concept,ews,concept,2
message,concept,call,concept,1
available,concept,report,concept,1
