source,source_type,target,target_type,weight
know,concept,know,concept,3
call,concept,call,concept,2
dorland,concept,dorland,concept,5
company,concept,company,concept,2
contracts,concept,contracts,concept,1
year,concept,year,concept,1
id,concept,id,concept,3
password,concept,password,concept,3
party,concept,party,concept,1
energy,concept,energy,concept,3
report,concept,report,concept,7
bill,agent,bill,agent,1
zufferli,concept,zufferli,concept,3
enron,concept,enron,concept,18
called,concept,ask,concept,1
gas,concept,company,concept,6
help,concept,next,concept,2
take,concept,take,concept,7
let,concept,company,concept,1
power,concept,power,concept,1
some,concept,some,concept,1
line,concept,line,concept,3
need,concept,call,concept,3
make,concept,today,concept,1
want,concept,work,concept,2
system,concept,system,concept,2
day,concept,week,concept,1
energy,concept,enron,concept,1
account,concept,account,concept,1
going,concept,need,concept,1
take,concept,look,concept,2
management,concept,management,concept,1
let,concept,like,concept,1
power,concept,company,concept,1
volume,concept,volume,concept,1
trade,concept,markets,concept,1
market,concept,energy,concept,1
location,concept,location,concept,1
changes,concept,changes,concept,1
call,concept,review,concept,1
purchase,concept,transmission,concept,1
email,concept,send,concept,4
power,concept,state,concept,1
customer,concept,customer,concept,2
value,concept,sale,concept,1
enron,concept,let,concept,1
power,concept,enron,concept,1
message,concept,call,concept,1
energy,concept,gas,concept,1
event,concept,event,concept,1
sell,concept,swaps,concept,1
like,concept,some,concept,1
information,concept,email,concept,3
did,concept,did,concept,1
power,concept,gas,concept,2
time,concept,enron,concept,3
work,concept,back,concept,1
enron,concept,energy,concept,4
give,concept,take,concept,1
still,concept,enron,concept,3
know,concept,let,concept,2
day,concept,day,concept,2
error,concept,delete,concept,2
tomorrow,concept,morning,concept,2
items,concept,system,concept,2
click,concept,index,concept,1
some,concept,time,concept,3
system,concept,know,concept,1
know,concept,next,concept,1
power,concept,price,concept,1
more,concept,information,concept,7
electric,concept,electric,concept,2
business,concept,day,concept,1
special,concept,special,concept,1
today,concept,like,concept,1
today,concept,help,concept,1
information,concept,energy,concept,1
need,concept,need,concept,1
email,concept,information,concept,2
contact,concept,contact,concept,2
company,concept,some,concept,3
open,concept,swaps,concept,3
groups,concept,east,concept,1
off,concept,houston,location,1
some,concept,want,concept,2
call,concept,email,concept,3
copy,concept,federal,concept,1
complete,concept,experience,concept,1
water,concept,program,concept,1
deal,concept,tomorrow,concept,1
look,concept,discuss,concept,1
year,concept,deal,concept,1
price,concept,power,concept,1
provided,concept,charge,concept,1
like,concept,good,concept,1
more,concept,company,concept,1
date,concept,friday,concept,1
ever,concept,talking,concept,1
following,concept,contact,concept,1
know,concept,like,concept,1
good,concept,meeting,concept,1
run,concept,run,concept,1
like,concept,make,concept,3
order,concept,order,concept,1
number,concept,through,concept,2
know,concept,help,concept,4
volumes,concept,product,concept,2
following,concept,message,concept,1
well,concept,going,concept,1
list,concept,send,concept,2
today,concept,last,concept,8
want,concept,more,concept,1
file,concept,make,concept,1
help,concept,help,concept,1
like,concept,file,concept,1
send,concept,message,concept,1
know,concept,more,concept,3
gas,concept,power,concept,1
report,concept,received,concept,1
think,concept,did,concept,1
did,concept,make,concept,2
email,concept,email,concept,2
week,concept,next,concept,1
company,concept,gas,concept,2
made,concept,issues,concept,1
need,concept,work,concept,1
going,concept,next,concept,1
value,concept,value,concept,1
management,concept,pipeline,concept,2
use,concept,day,concept,1
down,concept,did,concept,1
subject,concept,going,concept,1
let,concept,know,concept,76
let,concept,email,concept,2
look,concept,some,concept,2
take,concept,right,concept,8
more,concept,week,concept,1
ask,concept,ask,concept,1
thing,concept,correct,concept,1
heard,concept,through,concept,1
made,concept,available,concept,1
trading,concept,enron,concept,2
available,concept,help,concept,1
sorry,concept,today,concept,1
going,concept,company,concept,2
pacific,concept,electric,concept,4
look,concept,know,concept,1
power,concept,did,concept,2
number,concept,email,concept,1
sure,concept,sure,concept,1
back,concept,under,concept,1
did,concept,sorry,concept,1
did,concept,good,concept,2
bill,agent,enron,concept,2
john,agent,enron,concept,1
east,concept,central,concept,2
know,concept,following,concept,1
turn,concept,turn,concept,1
company,concept,contact,concept,1
know,concept,did,concept,1
trade,concept,firm,concept,1
time,concept,amount,concept,2
right,concept,take,concept,7
marketing,concept,company,concept,1
right,concept,right,concept,1
well,concept,chris,agent,1
trading,concept,management,concept,1
customer,concept,company,concept,1
through,concept,number,concept,1
book,concept,book,concept,1
payment,concept,november,concept,1
issue,concept,prior,concept,2
contact,concept,information,concept,5
board,concept,board,concept,1
sure,concept,blackberry,concept,1
well,concept,like,concept,1
help,concept,call,concept,1
under,concept,business,concept,1
know,concept,provide,concept,1
sell,concept,gas,concept,1
management,concept,process,concept,1
like,concept,like,concept,1
want,concept,back,concept,1
information,concept,jones,agent,1
enron,concept,business,concept,4
energy,concept,services,concept,3
did,concept,call,concept,2
like,concept,back,concept,1
department,concept,east,concept,1
like,concept,contracts,concept,1
texas,location,access,concept,2
kind,concept,kind,concept,1
did,concept,let,concept,1
dow,concept,dow,concept,2
supply,concept,necessary,concept,1
bit,concept,need,concept,1
enron,concept,available,concept,7
agreement,concept,agreement,concept,1
take,concept,energy,concept,1
report,concept,click,concept,1
monday,concept,date,concept,2
federal,concept,york,concept,2
gary,agent,question,concept,1
sold,concept,sold,concept,4
next,concept,well,concept,1
way,concept,management,concept,1
need,concept,north,concept,3
provide,concept,more,concept,1
enron,concept,contracts,concept,1
back,concept,some,concept,3
energy,concept,business,concept,2
john,agent,john,agent,1
next,concept,information,concept,1
markets,concept,north,concept,1
want,concept,down,concept,2
against,concept,west,concept,1
enron,concept,price,concept,2
enron,concept,work,concept,2
days,concept,day,concept,1
turn,concept,presentation,concept,1
close,concept,making,concept,1
why,concept,bit,concept,1
want,concept,make,concept,2
load,concept,load,concept,2
information,concept,company,concept,2
via,concept,delivery,concept,1
business,concept,money,concept,1
customers,concept,net,concept,1
email,concept,back,concept,1
points,concept,enron,concept,1
going,concept,work,concept,1
company,concept,questions,concept,1
back,concept,work,concept,1
trades,concept,central,concept,1
know,concept,good,concept,1
well,concept,power,concept,1
company,concept,did,concept,2
wholesale,concept,pipeline,concept,1
then,concept,going,concept,1
info,concept,questions,concept,1
think,concept,let,concept,3
weeks,concept,back,concept,1
more,concept,available,concept,1
enron,concept,going,concept,1
deal,concept,enron,concept,1
did,concept,power,concept,2
always,concept,station,concept,1
specific,concept,reports,concept,1
west,concept,swaps,concept,1
comments,concept,email,concept,1
volume,concept,basis,concept,1
var,concept,several,concept,1
help,concept,more,concept,1
money,concept,company,concept,2
gas,concept,electric,concept,4
need,concept,send,concept,4
still,concept,know,concept,1
need,concept,daily,concept,1
did,concept,want,concept,1
well,concept,company,concept,2
real,concept,ask,concept,1
let,concept,need,concept,7
never,concept,system,concept,2
change,concept,necessary,concept,1
corporate,concept,own,concept,2
north,concept,suite,concept,1
reply,concept,correct,concept,1
work,concept,bit,concept,1
give,concept,enron,concept,1
information,concept,account,concept,1
like,concept,information,concept,3
hey,concept,know,concept,1
customers,concept,electric,concept,2
order,concept,information,concept,2
hey,concept,going,concept,1
process,concept,take,concept,1
good,concept,days,concept,2
though,concept,signed,concept,1
way,concept,payment,concept,1
know,concept,right,concept,3
daily,concept,volume,concept,2
fuel,concept,pipeline,concept,1
update,concept,necessary,concept,1
greg,agent,jim,agent,1
gas,concept,found,concept,2
company,concept,contracts,concept,1
day,concept,work,concept,2
requested,concept,issue,concept,2
price,concept,enron,concept,1
friday,concept,take,concept,1
energy,concept,company,concept,3
right,concept,plan,concept,1
people,concept,right,concept,1
plan,concept,taking,concept,1
contact,concept,process,concept,1
know,concept,make,concept,2
customer,concept,points,concept,1
bill,agent,notice,concept,2
related,concept,received,concept,1
back,concept,company,concept,1
volumes,concept,location,concept,1
next,concept,message,concept,1
thank,concept,always,concept,2
call,concept,issue,concept,1
good,concept,last,concept,1
agreements,concept,know,concept,1
give,concept,customers,concept,1
click,concept,visit,concept,1
right,concept,made,concept,1
chris,agent,well,concept,1
more,concept,next,concept,1
make,concept,corporate,concept,2
take,concept,let,concept,1
portland,concept,way,concept,2
markets,concept,committee,concept,1
power,concept,make,concept,2
gas,concept,system,concept,1
pm,concept,time,concept,2
following,concept,future,concept,1
report,concept,basis,concept,1
following,concept,report,concept,1
energy,concept,issue,concept,1
bad,concept,thing,concept,1
options,concept,book,concept,1
john,agent,ercot,concept,1
direct,concept,book,concept,1
ole,concept,independent,concept,1
day,concept,days,concept,1
sunday,concept,love,concept,1
west,concept,desk,concept,2
direct,concept,trade,concept,1
delivery,concept,november,concept,1
like,concept,fact,concept,1
days,concept,business,concept,1
prior,concept,tomorrow,concept,3
discuss,concept,company,concept,1
way,concept,take,concept,7
called,concept,jim,agent,1
future,concept,direct,concept,1
process,concept,know,concept,1
through,concept,need,concept,1
work,concept,enron,concept,2
sorry,concept,like,concept,1
year,concept,enron,concept,1
release,concept,included,concept,2
need,concept,give,concept,2
scheduled,concept,prior,concept,1
pjm,concept,energy,concept,1
process,concept,customers,concept,1
always,concept,did,concept,1
intended,concept,corp,concept,1
account,concept,required,concept,1
then,concept,information,concept,1
more,concept,sheet,concept,1
john,agent,north,concept,1
complete,concept,job,concept,1
think,concept,off,concept,1
still,concept,file,concept,1
report,concept,employee,concept,1
fact,concept,last,concept,7
did,concept,back,concept,1
always,concept,know,concept,1
love,concept,lot,concept,1
give,concept,following,concept,1
call,concept,make,concept,1
back,concept,more,concept,1
trading,concept,meeting,concept,1
station,concept,power,concept,1
back,concept,year,concept,1
email,concept,portland,concept,2
points,concept,customer,concept,1
did,concept,know,concept,3
enron,concept,office,concept,2
sheet,concept,like,concept,1
going,concept,information,concept,1
basis,concept,volume,concept,1
send,concept,going,concept,1
location,concept,swaps,concept,1
make,concept,power,concept,2
following,concept,employee,concept,1
power,concept,file,concept,1
information,concept,intended,concept,2
send,concept,november,concept,1
right,concept,traders,concept,1
trading,concept,power,concept,2
some,concept,know,concept,1
dow,concept,sheet,concept,1
like,concept,help,concept,2
management,concept,email,concept,1
visit,concept,help,concept,1
off,concept,send,concept,1
release,concept,morning,concept,2
company,concept,information,concept,1
decision,concept,some,concept,1
need,concept,prior,concept,2
houston,location,texas,location,2
anyone,concept,make,concept,1
lot,concept,send,concept,1
off,concept,swaps,concept,1
office,concept,cell,concept,1
plan,concept,change,concept,1
know,concept,planning,concept,1
given,concept,west,concept,2
want,concept,know,concept,2
review,concept,comments,concept,2
know,concept,questions,concept,7
enron,concept,email,concept,1
complete,concept,provided,concept,1
deal,concept,money,concept,1
make,concept,books,concept,1
leave,concept,bob,agent,1
york,concept,issue,concept,2
add,concept,groups,concept,1
review,concept,information,concept,1
did,concept,last,concept,1
work,concept,going,concept,1
report,concept,following,concept,1
addition,concept,required,concept,2
enron,concept,power,concept,3
trades,concept,today,concept,1
think,concept,still,concept,1
time,concept,everything,concept,1
houston,location,sunday,concept,1
give,concept,access,concept,2
well,concept,want,concept,1
called,concept,several,concept,1
prior,concept,business,concept,1
company,concept,center,concept,1
hear,concept,problems,concept,1
california,location,commission,concept,2
day,concept,prior,concept,1
government,concept,houston,location,1
